ticker,name,trend,index
ADANIENT.NS,Adani Enterprises Limited,up,nifty50
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,up,nifty50
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,up,nifty50
ASIANPAINT.NS,Asian Paints Limited,up,nifty50
AXISBANK.NS,Axis Bank Limited,up,nifty50
BAJAJ-AUTO.NS,Bajaj Auto Limited,down,nifty50
BAJAJFINSV.NS,Bajaj Finserv Ltd.,down,nifty50
BAJFINANCE.NS,Bajaj Finance Limited,down,nifty50
BEL.NS,Bharat Electronics Limited,down,nifty50
BHARTIARTL.NS,Bharti Airtel Limited,down,nifty50
BPCL.NS,Bharat Petroleum Corporation Limited,down,nifty50
BRITANNIA.NS,Britannia Industries Limited,down,nifty50
CIPLA.NS,Cipla Limited,up,nifty50
COALINDIA.NS,Coal India Limited,up,nifty50
DIVISLAB.NS,Divi's Laboratories Limited,up,nifty50
DRREDDY.NS,Dr. Reddy's Laboratories Limited,down,nifty50
EICHERMOT.NS,Eicher Motors Limited,up,nifty50
GRASIM.NS,Grasim Industries Limited,up,nifty50
HCLTECH.NS,HCL Technologies Limited,down,nifty50
HDFCBANK.NS,HDFC Bank Limited,down,nifty50
HDFCLIFE.NS,HDFC Life Insurance Company Limited,down,nifty50
HEROMOTOCO.NS,Hero MotoCorp Limited,down,nifty50
HINDALCO.NS,Hindalco Industries Limited,down,nifty50
HINDUNILVR.NS,Hindustan Unilever Limited,down,nifty50
ICICIBANK.NS,ICICI Bank Limited,up,nifty50
INDUSINDBK.NS,IndusInd Bank Limited,up,nifty50
INFY.NS,Infosys Limited,down,nifty50
ITC.NS,ITC Limited,down,nifty50
JSWSTEEL.NS,JSW Steel Limited,down,nifty50
KOTAKBANK.NS,Kotak Mahindra Bank Limited,neutral,nifty50
LT.NS,Larsen & Toubro Limited,down,nifty50
M&M.NS,Mahindra & Mahindra Limited,down,nifty50
MARUTI.NS,Maruti Suzuki India Limited,up,nifty50
NESTLEIND.NS,Nestlé India Limited,up,nifty50
NTPC.NS,NTPC Limited,down,nifty50
ONGC.NS,Oil and Natural Gas Corporation Limited,down,nifty50
POWERGRID.NS,Power Grid Corporation of India Limited,down,nifty50
RELIANCE.NS,Reliance Industries Limited,down,nifty50
SBILIFE.NS,SBI Life Insurance Company Limited,down,nifty50
SBIN.NS,State Bank of India,up,nifty50
SHRIRAMFIN.NS,Shriram Finance Limited,down,nifty50
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,down,nifty50
TATACONSUM.NS,Tata Consumer Products Limited,down,nifty50
TATASTEEL.NS,Tata Steel Limited,down,nifty50
TCS.NS,Tata Consultancy Services Limited,down,nifty50
TECHM.NS,Tech Mahindra Limited,up,nifty50
TITAN.NS,Titan Company Limited,down,nifty50
ULTRACEMCO.NS,UltraTech Cement Limited,down,nifty50
WIPRO.NS,Wipro Limited,down,nifty50
AARTIIND.NS,Aarti Industries Limited,down,nifty_midcap_100
ABCAPITAL.NS,Aditya Birla Capital Limited,down,nifty_midcap_100
ABFRL.NS,Aditya Birla Fashion and Retail Limited,down,nifty_midcap_100
APOLLOTYRE.NS,Apollo Tyres Limited,down,nifty_midcap_100
ASHOKLEY.NS,Ashok Leyland Limited,down,nifty_midcap_100
ATGL.NS,Adani Total Gas Limited,up,nifty_midcap_100
BALKRISIND.NS,Balkrishna Industries Limited,down,nifty_midcap_100
BANKBARODA.NS,Bank of Baroda Limited,up,nifty_midcap_100
BANKINDIA.NS,Bank of India Limited,up,nifty_midcap_100
BDL.NS,Bharat Dynamics Limited,down,nifty_midcap_100
BHEL.NS,Bharat Heavy Electricals Limited,down,nifty_midcap_100
BHARATFORG.NS,Bharat Forge Limited,up,nifty_midcap_100
BIOCON.NS,Biocon Limited,up,nifty_midcap_100
CANBK.NS,Canara Bank,up,nifty_midcap_100
CGPOWER.NS,CG Power and Industrial Solutions Limited,up,nifty_midcap_100
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,down,nifty_midcap_100
COLPAL.NS,Colgate-Palmolive (India) Limited,down,nifty_midcap_100
CONCOR.NS,Container Corporation of India Limited,down,nifty_midcap_100
COROMANDEL.NS,Coromandel International Limited,down,nifty_midcap_100
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,down,nifty_midcap_100
CUMMINSIND.NS,Cummins India Limited,up,nifty_midcap_100
DALBHARAT.NS,Dalmia Bharat Limited,down,nifty_midcap_100
DEEPAKNTR.NS,Deepak Nitrite Limited,down,nifty_midcap_100
DELHIVERY.NS,Delhivery Limited,down,nifty_midcap_100
DIXON.NS,Dixon Technologies (India) Limited,up,nifty_midcap_100
ESCORTS.NS,Escorts Kubota Limited,down,nifty_midcap_100
