ticker,name,trend,index
AARTIIND.NS,Aarti Industries Limited,down,nifty_midcap_100
ABCAPITAL.NS,Aditya Birla Capital Limited,down,nifty_midcap_100
ABFRL.NS,Aditya Birla Fashion and Retail Limited,down,nifty_midcap_100
APOLLOTYRE.NS,Apollo Tyres Limited,down,nifty_midcap_100
ASHOKLEY.NS,Ashok Leyland Limited,down,nifty_midcap_100
ATGL.NS,Adani Total Gas Limited,up,nifty_midcap_100
BALKRISIND.NS,Balkrishna Industries Limited,down,nifty_midcap_100
BANKBARODA.NS,Bank of Baroda Limited,up,nifty_midcap_100
BANKINDIA.NS,Bank of India Limited,up,nifty_midcap_100
BDL.NS,Bharat Dynamics Limited,down,nifty_midcap_100
BHEL.NS,Bharat Heavy Electricals Limited,down,nifty_midcap_100
BHARATFORG.NS,Bharat Forge Limited,up,nifty_midcap_100
BIOCON.NS,Biocon Limited,up,nifty_midcap_100
CANBK.NS,Canara Bank,up,nifty_midcap_100
CGPOWER.NS,CG Power and Industrial Solutions Limited,up,nifty_midcap_100
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,down,nifty_midcap_100
COLPAL.NS,Colgate-Palmolive (India) Limited,down,nifty_midcap_100
CONCOR.NS,Container Corporation of India Limited,down,nifty_midcap_100
COROMANDEL.NS,Coromandel International Limited,down,nifty_midcap_100
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,down,nifty_midcap_100
CUMMINSIND.NS,Cummins India Limited,up,nifty_midcap_100
DALBHARAT.NS,Dalmia Bharat Limited,down,nifty_midcap_100
DEEPAKNTR.NS,Deepak Nitrite Limited,down,nifty_midcap_100
DELHIVERY.NS,Delhivery Limited,down,nifty_midcap_100
DIXON.NS,Dixon Technologies (India) Limited,up,nifty_midcap_100
ESCORTS.NS,Escorts Kubota Limited,down,nifty_midcap_100
EXIDEIND.NS,Exide Industries Limited,up,nifty_midcap_100
FEDERALBNK.NS,The Federal Bank Limited,up,nifty_midcap_100
FACT.NS,The Fertilisers and Chemicals Travancore Limited,down,nifty_midcap_100
FORTIS.NS,Fortis Healthcare Limited,up,nifty_midcap_100
GLENMARK.NS,Glenmark Pharmaceuticals Limited,down,nifty_midcap_100
GODREJPROP.NS,Godrej Properties Limited,down,nifty_midcap_100
GUJGASLTD.NS,Gujarat Energy Limited,up,nifty_midcap_100
HDFCAMC.NS,HDFC Asset Management Company Limited,down,nifty_midcap_100
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,down,nifty_midcap_100
HINDZINC.NS,Hindustan Zinc Limited,down,nifty_midcap_100
HUDCO.NS,Housing and Urban Development Corporation Limited,up,nifty_midcap_100
IDFCFIRSTB.NS,IDFC First Bank Limited,up,nifty_midcap_100
IGL.NS,Indraprastha Gas Limited,up,nifty_midcap_100
INDHOTEL.NS,The Indian Hotels Company Limited,up,nifty_midcap_100
INDIANB.NS,Indian Bank,up,nifty_midcap_100
IREDA.NS,Indian Renewable Energy Development Agency Limited,down,nifty_midcap_100
IRB.NS,IRB Infrastructure Developers Limited,down,nifty_midcap_100
INDUSTOWER.NS,Indus Towers Limited,down,nifty_midcap_100
IOB.NS,Indian Overseas Bank,down,nifty_midcap_100
IPCALAB.NS,Ipca Laboratories Limited,up,nifty_midcap_100
JSWENERGY.NS,JSW Energy Limited,up,nifty_midcap_100
JSWINFRA.NS,JSW Infrastructure Limited,up,nifty_midcap_100
JUBLFOOD.NS,Jubilant FoodWorks Limited,down,nifty_midcap_100
KALYANKJIL.NS,Kalyan Jewellers India Limited,down,nifty_midcap_100
KPITTECH.NS,KPIT Technologies Limited,neutral,nifty_midcap_100
LAURUSLABS.NS,Laurus Labs Limited,up,nifty_midcap_100
LICHSGFIN.NS,LIC Housing Finance Limited,up,nifty_midcap_100
LTF.NS,L&T Finance Limited,down,nifty_midcap_100
